NamaMobil,Harga,url
Peugeot 408 PHEV ,"€ 659,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/408-phev
Kia Sportage PHEV ,"€ 659,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/sportage-phev
Mercedes-Benz EQB Elektrisch ,"€ 664,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/eqb-ev
Cupra Leon Sportstourer PHEV ,"€ 664,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/cupra/leon-sportstourer-phev
Volvo C40 Recharge Elektrisch ,"€ 669,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/c40-recharge-ev
Jeep Compass PHEV ,"€ 669,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/jeep/compass-phev
Cupra Formentor PHEV ,"€ 669,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/cupra/formentor-phev
MG Marvel R Elektrisch ,"€ 669,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mg/marvel-r-ev
Mercedes-Benz CLA Coupe PHEV ,"€ 669,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/cla-coupe-phev
Mini Countryman PHEV ,"€ 669,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mini/countryman-phev
Mazda 6 Sportbreak ,"€ 684,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/6-sportbreak
BMW X1 ,"€ 684,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/x1
Citroen C5 X PHEV ,"€ 689,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c5-x-phev
Mercedes-Benz CLA Shooting Brake MHEV ,"€ 689,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/cla-shooting-brake-mhev
BMW 2 Serie Active Tourer PHEV ,"€ 689,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/2-serie-active-tourer-phev
Polestar 2 Elektrisch ,"€ 699,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/polestar/2-ev
Xpeng P7 Elektrisch ,"€ 699,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/xpeng/p7-ev
Toyota RAV4 Hybrid ,"€ 699,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/rav4-hybrid
Peugeot 5008 MHEV ,"€ 699,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/5008-mhev
Audi Q4 e-tron Elektrisch ,"€ 709,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/audi/q4-e-tron-ev
BMW iX1 Elektrisch ,"€ 714,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/ix1-ev
Mercedes-Benz CLA Shooting Brake PHEV ,"€ 719,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/cla-shooting-brake-phev
DS 7 PHEV ,"€ 724,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ds/7-phev
BMW i4 Elektrisch ,"€ 729,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/i4-ev
Nissan X-Trail Hybrid Hybrid ,"€ 729,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/x-trail-hybrid-hybrid
BMW X1 PHEV ,"€ 729,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/x1-phev
Mazda CX-60 PHEV ,"€ 734,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/cx-60-phev
VinFast VF 8 Elektrisch ,"€ 749,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/vinfast/vf-8-ev
BMW 3 Serie Touring PHEV ,"€ 754,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/3-serie-touring-phev
BMW 3 Serie Touring ,"€ 759,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/3-serie-touring
Peugeot 508 PHEV ,"€ 759,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/508-phev
Subaru Solterra Elektrisch ,"€ 769,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/subaru/solterra-ev
Peugeot 508 SW PHEV ,"€ 779,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/508-sw-phev
Volvo V60 MHEV ,"€ 789,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/v60-mhev
Toyota RAV4 PHEV ,"€ 789,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/rav4-phev
Xpeng G9 Elektrisch ,"€ 799,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/xpeng/g9-ev
Zeekr 001 Elektrisch ,"€ 829,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/zeekr/001-ev
Volvo V60 PHEV ,"€ 844,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/v60-phev
NIO ET5 Elektrisch ,"€ 859,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nio/et5-ev
BMW ix3 Elektrisch ,"€ 899,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/ix3-ev
Kia EV9 Elektrisch ,"€ 899,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/ev9-ev
NIO ET5 Touring Elektrisch ,"€ 899,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nio/et5-touring-ev
BMW X3 PHEV ,"€ 899,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/x3-phev
Lexus ES 300h Hybrid ,"€ 909,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/lexus/es-300h-hybrid
NIO EL6 Elektrisch ,"€ 919,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nio/el6-ev
Alfa Romeo Giulia ,"€ 944,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/alfa-romeo/giulia
BMW i5 Elektrisch ,"€ 954,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/i5-ev
Land Rover Range Rover Evoque PHEV ,"€ 969,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/land-rover/range-rover-evoque-phev
Volkswagen ID. Buzz Elektrisch ,"€ 1.009,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/id.-buzz-ev
Volvo XC60 PHEV ,"€ 1.019,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/xc60-phev
Alfa Romeo Stelvio ,"€ 1.129,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/alfa-romeo/stelvio
